Year,Forecast_Exchange_Rate
2025,18.194621637158303
2026,18.221258314111648
2027,18.2159648629654
2028,18.217016819449565
2029,18.21680776633582
2030,18.21684931102424
2031,18.21684105493513
2032,18.216842695650467
2033,18.216842369594538
2034,18.21684243439095
2035,18.216842421514094
