Country Name,Year,Exchange_Rate,t,Trend
South Africa,1960.0,0.714285999714286,0,-2.7868205243546793
South Africa,1961.0,0.714285999714286,1,-2.534325554726438
South Africa,1962.0,0.714285999714286,2,-2.2818305850981964
South Africa,1963.0,0.714285999714286,3,-2.0293356154699547
South Africa,1964.0,0.714285999714286,4,-1.7768406458417134
South Africa,1965.0,0.714285999714286,5,-1.524345676213472
South Africa,1966.0,0.714285999714286,6,-1.2718507065852305
South Africa,1967.0,0.714285999714286,7,-1.019355736956989
South Africa,1968.0,0.714285999714286,8,-0.7668607673287475
South Africa,1969.0,0.714285999714286,9,-0.5143657977005063
South Africa,1970.0,0.714285999714286,10,-0.2618708280722646
South Africa,1971.0,0.7152169163214288,11,-0.009375858444022889
South Africa,1972.0,0.768725237196027,12,0.24311911118421836
South Africa,1973.0,0.6939590980210925,13,0.4956140808124596
South Africa,1974.0,0.6794770035702512,14,0.7481090504407013
South Africa,1975.0,0.739507755296336,15,1.000604020068943
South Africa,1976.0,0.869565218147448,16,1.2530989896971843
South Africa,1977.0,0.869565218147448,17,1.5055939593254255
South Africa,1978.0,0.869565218147448,18,1.7580889289536668
South Africa,1979.0,0.8420226019349432,19,2.010583898581909
South Africa,1980.0,0.7788337372760415,20,2.26307886821015
South Africa,1981.0,0.8775789427581535,21,2.5155738378383914
South Africa,1982.0,1.085815833083333,22,2.7680688074666335
South Africa,1983.0,1.11409999975,23,3.020563777094875
South Africa,1984.0,1.47527749975,24,3.273058746723116
South Africa,1985.0,2.228674999416667,25,3.5255537163513573
South Africa,1986.0,2.285031666416667,26,3.7780486859795985
South Africa,1987.0,2.036033333333334,27,4.030543655607841
South Africa,1988.0,2.2734675,28,4.283038625236082
South Africa,1989.0,2.6226775,29,4.535533594864323
South Africa,1990.0,2.587320833333332,30,4.788028564492565
South Africa,1991.0,2.761315,31,5.040523534120807
South Africa,1992.0,2.852014166666668,32,5.293018503749048
South Africa,1993.0,3.267741583333332,33,5.545513473377289
South Africa,1994.0,3.550798333333335,34,5.79800844300553
South Africa,1995.0,3.627085,35,6.050503412633772
South Africa,1996.0,4.299349166666668,36,6.302998382262013
South Africa,1997.0,4.607961666666668,37,6.555493351890256
South Africa,1998.0,5.528284166666668,38,6.807988321518497
South Africa,1999.0,6.109484166666668,39,7.060483291146738
South Africa,2000.0,6.939828333333332,40,7.31297826077498
South Africa,2001.0,8.609180833333335,41,7.565473230403221
South Africa,2002.0,10.54074666666666,42,7.817968200031462
South Africa,2003.0,7.564749166666665,43,8.070463169659703
South Africa,2004.0,6.4596925,44,8.322958139287946
South Africa,2005.0,6.359328333333332,45,8.575453108916188
South Africa,2006.0,6.771549166666668,46,8.827948078544429
South Africa,2007.0,7.045365000000002,47,9.08044304817267
South Africa,2008.0,8.261223333333332,48,9.332938017800911
South Africa,2009.0,8.47367415824888,49,9.585432987429153
South Africa,2010.0,7.32122196115288,50,9.837927957057394
South Africa,2011.0,7.2611321323273454,51,10.090422926685635
South Africa,2012.0,8.209968626593316,52,10.342917896313876
South Africa,2013.0,9.65505606913526,53,10.59541286594212
South Africa,2014.0,10.85265556878306,54,10.84790783557036
South Africa,2015.0,12.7589308811644,55,11.100402805198602
South Africa,2016.0,14.70961088552673,56,11.352897774826843
South Africa,2017.0,13.32380142449915,57,11.605392744455084
South Africa,2018.0,13.23392647158334,58,11.857887714083326
South Africa,2019.0,14.44842705483334,59,12.110382683711567
South Africa,2020.0,16.45910539033333,60,12.36287765333981
South Africa,2021.0,14.77867821391667,61,12.615372622968051
South Africa,2022.0,16.3558534845,62,12.867867592596292
South Africa,2023.0,18.4502441785,63,13.120362562224534
South Africa,2024.0,18.3286575505,64,13.372857531852775
