Country Name,Year,Exchange_Rate,t,Trend
South Africa,1960.0,0.714285999714286,0,-2.7868205243546766
South Africa,1961.0,0.714285999714286,1,-2.534325554726435
South Africa,1962.0,0.714285999714286,2,-2.2818305850981937
South Africa,1963.0,0.714285999714286,3,-2.029335615469952
South Africa,1964.0,0.714285999714286,4,-1.7768406458417105
South Africa,1965.0,0.714285999714286,5,-1.524345676213469
South Africa,1966.0,0.714285999714286,6,-1.2718507065852274
South Africa,1967.0,0.714285999714286,7,-1.019355736956986
South Africa,1968.0,0.714285999714286,8,-0.7668607673287444
South Africa,1969.0,0.714285999714286,9,-0.5143657977005027
South Africa,1970.0,0.714285999714286,10,-0.2618708280722615
South Africa,1971.0,0.7152169163214288,11,-0.00937585844401978
South Africa,1972.0,0.768725237196027,12,0.24311911118422191
South Africa,1973.0,0.6939590980210925,13,0.49561408081246316
South Africa,1974.0,0.6794770035702512,14,0.7481090504407049
South Africa,1975.0,0.739507755296336,15,1.000604020068946
South Africa,1976.0,0.869565218147448,16,1.2530989896971878
South Africa,1977.0,0.869565218147448,17,1.505593959325429
South Africa,1978.0,0.869565218147448,18,1.7580889289536712
South Africa,1979.0,0.8420226019349432,19,2.0105838985819124
South Africa,1980.0,0.7788337372760415,20,2.2630788682101537
South Africa,1981.0,0.8775789427581535,21,2.515573837838396
South Africa,1982.0,1.085815833083333,22,2.768068807466637
South Africa,1983.0,1.11409999975,23,3.0205637770948783
South Africa,1984.0,1.47527749975,24,3.2730587467231205
South Africa,1985.0,2.228674999416667,25,3.5255537163513617
South Africa,1986.0,2.285031666416667,26,3.778048685979603
South Africa,1987.0,2.036033333333334,27,4.030543655607844
South Africa,1988.0,2.2734675,28,4.283038625236086
South Africa,1989.0,2.6226775,29,4.535533594864328
South Africa,1990.0,2.587320833333332,30,4.788028564492569
South Africa,1991.0,2.761315,31,5.040523534120811
South Africa,1992.0,2.852014166666668,32,5.293018503749052
South Africa,1993.0,3.267741583333332,33,5.5455134733772935
South Africa,1994.0,3.550798333333335,34,5.798008443005535
South Africa,1995.0,3.627085,35,6.050503412633776
South Africa,1996.0,4.299349166666668,36,6.302998382262019
South Africa,1997.0,4.607961666666668,37,6.55549335189026
South Africa,1998.0,5.528284166666668,38,6.8079883215185015
South Africa,1999.0,6.109484166666668,39,7.060483291146743
South Africa,2000.0,6.939828333333332,40,7.312978260774984
South Africa,2001.0,8.609180833333335,41,7.565473230403225
South Africa,2002.0,10.54074666666666,42,7.817968200031468
South Africa,2003.0,7.564749166666665,43,8.07046316965971
South Africa,2004.0,6.4596925,44,8.322958139287952
South Africa,2005.0,6.359328333333332,45,8.575453108916193
South Africa,2006.0,6.771549166666668,46,8.827948078544434
South Africa,2007.0,7.045365000000002,47,9.080443048172675
South Africa,2008.0,8.261223333333332,48,9.332938017800917
South Africa,2009.0,8.47367415824888,49,9.585432987429158
South Africa,2010.0,7.32122196115288,50,9.8379279570574
South Africa,2011.0,7.2611321323273454,51,10.09042292668564
South Africa,2012.0,8.209968626593316,52,10.342917896313882
South Africa,2013.0,9.65505606913526,53,10.595412865942123
South Africa,2014.0,10.85265556878306,54,10.847907835570364
South Africa,2015.0,12.7589308811644,55,11.100402805198609
South Africa,2016.0,14.70961088552673,56,11.35289777482685
South Africa,2017.0,13.32380142449915,57,11.605392744455092
South Africa,2018.0,13.23392647158334,58,11.857887714083333
South Africa,2019.0,14.44842705483334,59,12.110382683711574
South Africa,2020.0,16.45910539033333,60,12.362877653339815
South Africa,2021.0,14.77867821391667,61,12.615372622968057
South Africa,2022.0,16.3558534845,62,12.867867592596298
South Africa,2023.0,18.4502441785,63,13.120362562224539
South Africa,2024.0,18.3286575505,64,13.37285753185278
